City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nemuro,43.3236,145.575,14.96,82,5,2.72,JP,1724182883
1,tiksi,71.6872,128.8694,3.55,93,100,3.3,RU,1724182884
2,enewetak,11.3474,162.3373,28.33,79,81,6.42,MH,1724182886
3,adamstown,-25.066,-130.1015,17.79,58,99,8.18,PN,1724182888
4,hermanus,-34.4187,19.2345,10.45,84,0,4.47,ZA,1724182889
5,bengkulu,-3.8004,102.2655,23.48,95,99,1.68,ID,1724182890
6,kievka,50.2619,71.5514,14.72,79,100,2.7,KZ,1724182891
7,waitangi,-43.9535,-176.5597,8.79,84,49,5.36,NZ,1724182892
8,puerto ayora,-0.7393,-90.3518,21.97,85,23,3.13,EC,1724182893
9,afaahiti,-17.75,-149.2833,22.89,64,78,13.04,PF,1724182895
10,cabedelo,-6.9811,-34.8339,26.37,80,9,5.18,BR,1724182896
11,arraial do cabo,-22.9661,-42.0278,22.98,83,40,7.72,BR,1724182897
12,taoudenni,22.6783,-3.9836,40.77,20,78,2.44,ML,1724182898
13,jhunjhunun,28.1307,75.4014,29.71,60,37,2.73,IN,1724182899
14,pandan,14.0453,124.1694,26.45,86,100,1.45,PH,1724182900
15,taltal,-25.4,-70.4833,14.52,78,48,3.22,CL,1724182486
16,sayat,38.7839,63.8803,25.34,21,0,5.9,TM,1724182903
17,broceni,56.7,22.5333,14.65,87,87,2.46,LV,1724182904
18,jamestown,42.097,-79.2353,17.79,55,100,5.14,US,1724182832
19,ilulissat,69.2167,-51.1,7.01,61,75,1.54,GL,1724182906
20,margaret river,-33.95,115.0667,12.62,82,74,3.51,AU,1724182907
21,grytviken,-54.2811,-36.5092,-1.02,91,100,5.6,GS,1724182908
22,wailua homesteads,22.0669,-159.378,26.53,77,75,5.66,US,1724182909
23,sao jose da coroa grande,-8.8978,-35.1478,24.54,80,49,2.79,BR,1724182910
24,dalandzadgad,43.5708,104.425,18.31,68,68,1.8,MN,1724182912
25,mount barker,-35.0667,138.8667,11.73,91,100,4.88,AU,1724182914
26,stanley,54.868,-1.6985,13.01,74,20,6.17,GB,1724182915
27,edinburgh of the seven seas,-37.0676,-12.3116,11.13,61,100,12.98,SH,1724182916
28,la'ie,21.6477,-157.9253,27.98,80,6,3.58,US,1724182917
29,hell-ville,-13.4,48.2667,25.34,63,6,3.05,MG,1724182918
30,carbonear,47.7332,-53.2148,25.64,86,46,5.86,CA,1724182920
31,ribeira grande,38.5167,-28.7,27.22,65,20,3.09,PT,1724182921
32,avarua,-21.2078,-159.775,25.03,61,9,5.66,CK,1724182922
33,dunedin,-45.8742,170.5036,9.33,66,16,2.68,NZ,1724182923
34,mount isa,-20.7333,139.5,9.87,57,0,0.0,AU,1724182924
35,pemangkat,1.1667,108.9667,25.96,85,100,1.09,ID,1724182925
36,san pedro pochutla,15.7333,-96.4667,34.28,55,41,3.59,MX,1724182926
37,port-aux-francais,-49.35,70.2167,2.37,75,15,11.75,TF,1724182927
38,edd,13.9297,41.6925,31.21,71,100,3.96,ER,1724182930
39,st. john's,47.5649,-52.7093,26.2,80,40,10.8,CA,1724182142
40,brush,40.2589,-103.6238,33.57,35,0,3.6,US,1724182932
41,apache junction,33.4151,-111.5496,40.7,27,20,2.57,US,1724182933
42,roma,43.2128,-75.4557,17.84,70,100,3.6,US,1724182934
43,fort st. john,56.2499,-120.8529,20.94,49,75,9.26,CA,1724182935
44,thompson,55.7435,-97.8558,25.09,69,75,4.12,CA,1724182936
45,langford,48.4496,-123.5026,18.73,84,75,2.06,CA,1724182801
46,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,100,40,3.0,RU,1724182939
47,el idrissia,34.4454,2.5275,29.63,23,12,1.93,DZ,1724182940
48,calvia,39.5657,2.5062,27.18,79,0,2.2,ES,1724182941
49,kawambwa,-9.7915,29.0791,17.91,35,3,1.37,ZM,1724182942
50,port elizabeth,-33.918,25.5701,16.84,97,1,1.54,ZA,1724182943
51,ulladulla,-35.35,150.4667,14.87,70,100,3.12,AU,1724182944
52,weno,7.4515,151.8468,26.97,89,0,1.54,FM,1724182945
53,isafjordur,66.0755,-23.124,6.27,74,100,2.7,IS,1724182947
54,uliastay,47.7417,96.8444,13.92,64,100,1.85,MN,1724182948
55,hawaiian paradise park,19.5933,-154.9731,29.29,71,89,0.89,US,1724182949
56,miles city,46.4083,-105.8406,31.54,42,0,2.06,US,1724182950
57,papatowai,-46.5619,169.4708,8.56,82,100,5.97,NZ,1724182951
58,gornyy,55.1153,83.9059,14.52,91,100,2.54,RU,1724182952
59,yellowknife,62.456,-114.3525,19.67,75,75,7.2,CA,1724182953
60,punta del este,-34.9667,-54.95,12.06,86,75,5.66,UY,1724182954
61,pangody,65.85,74.4859,12.47,69,92,2.17,RU,1724182956
62,cherdyn',60.403,56.4787,11.84,99,96,0.95,RU,1724182957
63,kodiak,57.79,-152.4072,15.73,44,0,3.6,US,1724182895
64,whitehorse,60.7161,-135.0538,8.43,87,100,5.14,CA,1724182959
65,lihue,21.9789,-159.3672,26.87,76,75,5.66,US,1724182960
66,ushuaia,-54.8,-68.3,6.81,76,20,8.23,AR,1724182962
67,paya,18.25,-70.3,31.89,60,4,7.63,DO,1724182963
68,al jawf,29.5,38.75,30.89,19,4,4.09,SA,1724182965
69,jieyang,23.5289,116.3642,25.14,93,100,1.76,CN,1724182966
